0-9%,10-19%,20-29%,30-39%,40-49%,50-59%,60-69%,70-79%,80+%,Heart disease_prevalence
12.20661499,13.73536447,12.37028111,12.74977069,13.63644539,13.91701588,10.47822881,7.284041654,3.62223701,7.9
11.35527607,12.3441671,10.81496363,11.56442928,12.53910156,13.75365789,13.72888975,9.602700645,4.296814083,7.8
10.98026607,11.89662795,13.13452032,12.86523854,12.35480889,13.17471163,12.36284715,9.018930107,4.212049355,11.0
10.96428571,11.58928571,13.52232143,13.89732143,13.5625,13.90625,11.36160714,7.691964286,3.504464286,8.6
12.26659751,13.08782849,11.65629322,11.90179806,12.92185339,13.5615491,12.04183956,8.525242047,4.036998617,9.2
11.81692642,11.14618268,13.76011048,14.26316828,12.56658118,13.37541921,12.02406786,6.934306569,4.113237325,10.0
11.94613821,12.5050813,11.61585366,11.875,11.77845528,12.65752033,13.63313008,8.43495935,5.553861789,10.4
11.49925182,12.80835164,13.53115675,12.13280013,12.01204092,13.41039754,12.8118519,7.857224113,3.936925191,9.1
11.50974267,11.34017552,13.02989737,11.10813625,12.13148892,14.16331995,13.36308196,8.84129109,4.51286628,9.8
9.811001844,11.45129072,10.95574677,9.618930547,12.3079287,14.87784266,15.15826675,10.89044253,4.928549478,10.8
12.80094218,13.17690757,12.60616493,11.85196929,12.80773673,13.43510067,12.13734061,7.551015786,3.632822232,9.4
10.31072346,11.59567012,10.91815279,10.03815902,11.51000701,15.16237053,14.20450121,10.67673857,5.583677284,11.0
11.30434783,12.72993311,12.16973244,10.68979933,12.00250836,14.29347826,12.52508361,9.280936455,5.004180602,10.7
10.69679849,11.78154426,11.62335217,10.96045198,12.08286252,14.99811676,13.55178908,9.145009416,5.16007533,10.6
12.20391006,12.71101621,11.25642223,11.10962834,12.87782745,14.0988857,12.35070394,9.061186362,4.330419697,9.9
12.72419041,13.15378836,12.15974109,12.68758789,13.28478684,12.83399796,11.47777842,7.634514246,4.043614787,8.2
11.40937146,11.53719733,12.43745663,11.73076221,12.17267448,13.71023703,13.31215076,8.851028085,4.839122019,9.4
11.13464201,11.68037794,11.48489045,10.26309359,10.87399202,14.2868779,14.05880916,10.65406858,5.563248351,11.7
8.66075595,9.547363509,10.87260849,9.594027065,12.86980868,16.33224452,16.29491367,10.61129258,5.216985534,11.2
11.99913481,11.88828205,11.32049965,11.06905316,11.29616612,13.899854,13.61866652,9.484669875,5.423673823,10.3
12.16724537,12.76041667,11.92853009,11.26302083,11.9212963,13.83825231,13.22337963,8.543113426,4.35474537,9.8
12.31514106,12.29117231,12.45056446,11.89568802,12.38584885,13.46324393,12.52606601,8.653915294,4.018360058,9.2
13.04436637,12.08840592,14.32510826,12.89321023,11.61859629,12.70937168,11.74524062,7.664024839,3.911675791,8.6
12.44322631,13.95197076,12.40668233,11.21900287,10.8431219,13.7274863,13.34377447,7.98486035,4.079874706,10.6
12.50823002,14.0211529,12.04734888,11.51362331,13.08958465,13.16382994,12.04034461,7.878405828,3.737479863,10.5
11.76621442,12.65035964,13.60777657,13.44169404,13.43680926,13.67982708,11.29727551,7.031641164,3.088402311,7.5
12.31631653,12.04691412,12.94492217,12.53401546,12.77620551,13.23337324,11.75302057,8.310656362,4.084576031,10.2
11.54720442,12.13939376,12.51499985,11.56281402,12.98231237,13.39108887,13.1179208,8.596989298,4.147276612,9.5
11.4282237,11.82376924,11.96373152,10.81360677,12.13412037,13.60068156,13.74064383,9.706079231,4.789143796,10.5
13.33418359,13.43940312,12.50199279,11.65067117,13.2034563,12.88460925,11.33182412,7.617256002,4.036603641,9.7
11.32857034,12.67766208,10.86493882,11.22216311,12.3470396,13.78353728,13.84434142,9.17382382,4.757923539,11.0
12.06121705,12.12194826,12.09765578,10.51864448,9.692700109,13.33657233,15.63221183,9.109680554,5.42936961,12.5
12.82086106,12.67146544,12.79369822,11.02132283,10.8719272,13.73081624,13.14681516,8.15564308,4.787450767,10.5
10.69789064,11.91237143,10.52937416,11.12208728,12.53413911,13.05712127,14.92242431,10.07612296,5.148468824,10.1
12.29732052,12.88458968,12.23620634,12.70220202,12.39090163,13.29138099,12.06718741,7.981130994,4.149080422,9.1
10.8860368,12.09602598,11.5277563,10.89376836,13.00061852,13.92647286,13.93227153,9.389979898,4.347069739,10.8
12.7204611,12.56226301,13.93220082,13.58865463,12.167602,12.70574852,11.92507205,6.522675565,3.875322312,7.6
10.82057209,12.60473851,10.56775498,10.62554175,12.73475874,13.74602716,13.37041318,10.0982375,5.431956082,11.1
10.35860024,12.2755366,14.69146092,11.05566801,11.42260275,13.18259062,13.14037689,9.103012329,4.770151645,8.6
11.43004521,12.19164366,11.88214947,11.06290014,12.57699427,15.21376339,12.92896805,8.890372303,3.823163516,9.8
11.69933086,14.27220768,21.09417412,12.7655681,11.81217633,11.43826133,9.213680531,5.318376733,2.386224312,6.3
11.812964,12.88809865,11.82232204,13.52132593,13.92996028,14.7056377,11.16829912,6.935346351,3.216045917,7.8
